datetime,location,co2
2017-03-25 09:04:52,Georgetown,804
2017-03-25 09:04:53,Georgetown,804
2017-03-25 09:04:54,Georgetown,794
2017-03-25 09:04:55,Georgetown,775
2017-03-25 09:04:56,Georgetown,773
2017-03-25 09:04:57,Georgetown,770
2017-03-25 09:04:58,Georgetown,770
2017-03-25 09:04:59,Georgetown,786
2017-03-25 09:05:00,Georgetown,794
2017-03-25 09:05:01,Georgetown,802
2017-03-25 09:05:02,Georgetown,799
2017-03-25 09:05:03,Georgetown,799
2017-03-25 09:05:04,Georgetown,794
2017-03-25 09:05:05,Georgetown,788
2017-03-25 09:05:06,Georgetown,778
2017-03-25 09:05:07,Georgetown,783
2017-03-25 09:05:08,Georgetown,762
2017-03-25 09:05:09,Georgetown,762
2017-03-25 09:05:10,Georgetown,757
2017-03-25 09:05:11,Georgetown,746
2017-03-25 09:05:12,Georgetown,760
2017-03-25 09:05:13,Georgetown,754
2017-03-25 09:05:14,Georgetown,749
2017-03-25 09:05:15,Georgetown,752
2017-03-25 09:05:16,Georgetown,762
2017-03-25 09:05:17,Georgetown,773
2017-03-25 09:05:18,Georgetown,765
2017-03-25 09:05:19,Georgetown,760
2017-03-25 09:05:20,Georgetown,770
2017-03-25 09:05:21,Georgetown,767
2017-03-25 09:05:22,Georgetown,765
2017-03-25 09:05:23,Georgetown,757
2017-03-25 09:05:24,Georgetown,757
2017-03-25 09:05:25,Georgetown,757
2017-03-25 09:05:26,Georgetown,760
2017-03-25 09:05:27,Georgetown,757
2017-03-25 09:05:28,Georgetown,765
2017-03-25 09:05:29,Georgetown,760
2017-03-25 09:05:30,Georgetown,754
2017-03-25 09:05:31,Georgetown,760
2017-03-25 09:05:32,Georgetown,765
2017-03-25 09:05:33,Georgetown,767
2017-03-25 09:05:34,Georgetown,767
2017-03-25 09:05:35,Georgetown,770
2017-03-25 09:05:36,Georgetown,775
2017-03-25 09:05:37,Georgetown,767
2017-03-25 09:05:38,Georgetown,757
2017-03-25 09:05:39,Georgetown,762
2017-03-25 09:05:40,Georgetown,762
2017-03-25 09:05:41,Georgetown,762
2017-03-25 09:05:42,Georgetown,754
2017-03-25 09:05:43,Georgetown,744
2017-03-25 09:05:44,Georgetown,736
2017-03-25 09:05:45,Georgetown,736
2017-03-25 09:05:46,Georgetown,736
2017-03-25 09:05:47,Georgetown,736
2017-03-25 09:05:48,Georgetown,741
2017-03-25 09:05:49,Georgetown,749
2017-03-25 09:05:50,Georgetown,749
2017-03-25 09:05:51,Georgetown,760
2017-03-25 09:05:52,Georgetown,765
2017-03-25 09:05:53,Georgetown,754
2017-03-25 09:05:54,Georgetown,749
2017-03-25 09:05:55,Georgetown,760
2017-03-25 09:05:56,Georgetown,765
2017-03-25 09:05:57,Georgetown,773
2017-03-25 09:05:58,Georgetown,781
2017-03-25 09:05:59,Georgetown,778
2017-03-25 09:06:00,Georgetown,775
2017-03-25 09:06:01,Georgetown,778
2017-03-25 09:06:02,Georgetown,778
2017-03-25 09:06:03,Georgetown,770
2017-03-25 09:06:04,Georgetown,767
2017-03-25 09:06:05,Georgetown,767
2017-03-25 09:06:06,Georgetown,767
2017-03-25 09:06:07,Georgetown,767
2017-03-25 09:06:08,Georgetown,767
2017-03-25 09:06:09,Georgetown,765
2017-03-25 09:06:10,Georgetown,754
2017-03-25 09:06:11,Georgetown,757
2017-03-25 09:06:12,Georgetown,762
2017-03-25 09:06:13,Georgetown,765
2017-03-25 09:06:14,Georgetown,767
2017-03-25 09:06:15,Georgetown,768
2017-03-25 09:06:16,Georgetown,763
2017-03-25 09:06:17,Georgetown,753
2017-03-25 09:06:18,Georgetown,755
2017-03-25 09:06:19,Georgetown,755
2017-03-25 09:06:20,Georgetown,753
2017-03-25 09:06:21,Georgetown,758
2017-03-25 09:06:22,Georgetown,763
2017-03-25 09:06:23,Georgetown,755
2017-03-25 09:06:24,Georgetown,758
2017-03-25 09:06:25,Georgetown,758
2017-03-25 09:06:26,Georgetown,763
2017-03-25 09:06:27,Georgetown,776
2017-03-25 09:06:28,Georgetown,774
2017-03-25 09:06:29,Georgetown,763
2017-03-25 09:06:30,Georgetown,763
2017-03-25 09:06:31,Georgetown,768
2017-03-25 09:06:32,Georgetown,761
2017-03-25 09:06:33,Georgetown,755
2017-03-25 09:06:34,Georgetown,758
2017-03-25 09:06:35,Georgetown,761
2017-03-25 09:06:36,Georgetown,761
2017-03-25 09:06:37,Georgetown,758
2017-03-25 09:06:38,Georgetown,755
2017-03-25 09:06:39,Georgetown,761
2017-03-25 09:06:40,Georgetown,758
2017-03-25 09:06:41,Georgetown,761
2017-03-25 09:06:42,Georgetown,766
2017-03-25 09:06:43,Georgetown,766
2017-03-25 09:06:44,Georgetown,766
2017-03-25 09:06:45,Georgetown,763
2017-03-25 09:06:46,Georgetown,766
2017-03-25 09:06:47,Georgetown,771
2017-03-25 09:06:48,Georgetown,758
2017-03-25 09:06:49,Georgetown,758
2017-03-25 09:06:50,Georgetown,771
2017-03-25 09:06:51,Georgetown,774
2017-03-25 09:06:52,Georgetown,784
2017-03-25 09:06:53,Georgetown,779
2017-03-25 09:06:54,Georgetown,774
2017-03-25 09:06:55,Georgetown,779
2017-03-25 09:06:56,Georgetown,789
2017-03-25 09:06:57,Georgetown,789
2017-03-25 09:06:58,Georgetown,776
2017-03-25 09:06:59,Georgetown,774
2017-03-25 09:07:00,Georgetown,782
2017-03-25 09:07:01,Georgetown,776
2017-03-25 09:07:02,Georgetown,774
2017-03-25 09:07:03,Georgetown,763
2017-03-25 09:07:04,Georgetown,763
2017-03-25 09:07:05,Georgetown,766
2017-03-25 09:07:06,Georgetown,766
2017-03-25 09:07:07,Georgetown,766
2017-03-25 09:07:08,Georgetown,768
2017-03-25 09:07:09,Georgetown,774
2017-03-25 09:07:10,Georgetown,766
2017-03-25 09:07:11,Georgetown,776
2017-03-25 09:07:12,Georgetown,784
2017-03-25 09:07:13,Georgetown,784
2017-03-25 09:07:14,Georgetown,787
2017-03-25 09:07:15,Georgetown,789
2017-03-25 09:07:16,Georgetown,792
2017-03-25 09:07:17,Georgetown,774
2017-03-25 09:07:18,Georgetown,763
2017-03-25 09:07:19,Georgetown,761
2017-03-25 09:07:20,Georgetown,758
2017-03-25 09:07:21,Georgetown,763
2017-03-25 09:07:22,Georgetown,766
2017-03-25 09:07:23,Georgetown,763
2017-03-25 09:07:24,Georgetown,771
2017-03-25 09:07:25,Georgetown,774
2017-03-25 09:07:26,Georgetown,768
2017-03-25 09:07:27,Georgetown,774
2017-03-25 09:07:28,Georgetown,774
2017-03-25 09:07:29,Georgetown,763
2017-03-25 09:07:30,Georgetown,766
2017-03-25 09:07:31,Georgetown,763
2017-03-25 09:07:32,Georgetown,771
2017-03-25 09:07:33,Georgetown,774
2017-03-25 09:07:34,Georgetown,771
2017-03-25 09:07:35,Georgetown,771
2017-03-25 09:07:36,Georgetown,768
2017-03-25 09:07:37,Georgetown,774
2017-03-25 09:07:38,Georgetown,763
2017-03-25 09:07:39,Georgetown,763
2017-03-25 09:07:40,Georgetown,763
2017-03-25 09:07:41,Georgetown,763
2017-03-25 09:07:42,Georgetown,761
2017-03-25 09:07:43,Georgetown,768
2017-03-25 09:07:44,Georgetown,771
2017-03-25 09:07:45,Georgetown,774
2017-03-25 09:07:46,Georgetown,768
2017-03-25 09:07:47,Georgetown,758
2017-03-25 09:07:48,Georgetown,763
2017-03-25 09:07:49,Georgetown,763
2017-03-25 09:07:50,Georgetown,768
2017-03-25 09:07:51,Georgetown,771
2017-03-25 09:07:52,Georgetown,774
2017-03-25 09:07:53,Georgetown,771
2017-03-25 09:07:54,Georgetown,771
2017-03-25 09:07:55,Georgetown,771
2017-03-25 09:07:56,Georgetown,779
2017-03-25 09:07:57,Georgetown,768
2017-03-25 09:07:58,Georgetown,766
2017-03-25 09:07:59,Georgetown,763
2017-03-25 09:08:00,Georgetown,761
2017-03-25 09:08:01,Georgetown,758
2017-03-25 09:08:02,Georgetown,761
2017-03-25 09:08:03,Georgetown,763
2017-03-25 09:08:04,Georgetown,771
2017-03-25 09:08:05,Georgetown,771
2017-03-25 09:08:06,Georgetown,776
2017-03-25 09:08:07,Georgetown,771
2017-03-25 09:08:08,Georgetown,768
2017-03-25 09:08:09,Georgetown,771
2017-03-25 09:08:10,Georgetown,776
2017-03-25 09:08:11,Georgetown,787
2017-03-25 09:08:12,Georgetown,789
2017-03-25 09:08:13,Georgetown,784
2017-03-25 09:08:14,Georgetown,782
2017-03-25 09:08:15,Georgetown,782
2017-03-25 09:08:16,Georgetown,779
2017-03-25 09:08:17,Georgetown,787
2017-03-25 09:08:18,Georgetown,789
2017-03-25 09:08:19,Georgetown,787
2017-03-25 09:08:20,Georgetown,792
2017-03-25 09:08:21,Georgetown,797
2017-03-25 09:08:22,Georgetown,792
2017-03-25 09:08:23,Georgetown,787
2017-03-25 09:08:24,Georgetown,779
2017-03-25 09:08:25,Georgetown,774
2017-03-25 09:08:26,Georgetown,766
2017-03-25 09:08:27,Georgetown,768
2017-03-25 09:08:28,Georgetown,771
2017-03-25 09:08:29,Georgetown,774
2017-03-25 09:08:30,Georgetown,774
2017-03-25 09:08:31,Georgetown,766
2017-03-25 09:08:32,Georgetown,763
2017-03-25 09:08:33,Georgetown,771
2017-03-25 09:08:34,Georgetown,787
2017-03-25 09:08:35,Georgetown,789
2017-03-25 09:08:36,Georgetown,782
2017-03-25 09:08:37,Georgetown,776
2017-03-25 09:08:38,Georgetown,771
2017-03-25 09:08:39,Georgetown,771
2017-03-25 09:08:40,Georgetown,771
2017-03-25 09:08:41,Georgetown,766
2017-03-25 09:08:42,Georgetown,771
2017-03-25 09:08:43,Georgetown,776
2017-03-25 09:08:44,Georgetown,776
2017-03-25 09:08:45,Georgetown,776
2017-03-25 09:08:46,Georgetown,776
2017-03-25 09:08:47,Georgetown,771
2017-03-25 09:08:48,Georgetown,763
2017-03-25 09:08:49,Georgetown,755
2017-03-25 09:08:50,Georgetown,745
