datetime,control_F_rms,control_L_rms,rolling_rms
2017-05-05 18:15:00,0.0,21.546583557975808,0.0
2017-05-05 18:16:00,26.49759169481257,29.465002271409496,26.49759169481257
2017-05-05 18:17:00,23.314102056212676,26.984091320164925,14.954505609375166
2017-05-05 18:18:00,24.84086627917795,27.71166794157592,11.095778969387412
2017-05-05 18:19:00,34.05181145756664,36.198213763768784,27.058687144796956
2017-05-05 18:20:00,28.202936765299814,31.21971949612403,28.268940746648077
2017-05-05 18:21:00,25.530342425729426,28.26599076371049,16.69746133710651
2017-05-05 18:22:00,30.5827214715134,32.77273623951775,20.564749231087163
2017-05-05 18:23:00,26.268493971311592,28.993199184607644,20.86976848118669
2017-05-05 18:24:00,26.890644002995415,29.378932715468068,9.682732321423192
2017-05-05 18:25:00,27.369947478941203,29.935586429796786,11.356800436119029
2017-05-05 18:26:00,28.385256874167972,30.906059765171186,12.97250403497721
2017-05-05 18:27:00,27.524224756339642,30.08708085499489,10.956803109255912
2017-05-05 18:28:00,27.4318992765114,30.01258370632503,11.335393846083749
2017-05-05 18:29:00,27.89139745662331,30.63164685521332,11.826950993035638
2017-05-05 18:30:00,28.294089626854934,30.718306888970947,10.48064513261628
2017-05-05 18:31:00,27.86151704001118,30.443928273959653,11.767581571489814
2017-05-05 18:32:00,28.314541317139504,30.446105294506335,13.16403878707063
2017-05-05 18:33:00,28.143095604576505,30.37734621425699,10.703838583268466
2017-05-05 18:34:00,27.90105502224184,30.546657413973573,10.293250898647132
2017-05-05 18:35:00,28.400547731660623,30.100740136595203,11.688235337830086
2017-05-05 18:36:00,28.832594068678016,30.3196353801185,11.113604580460533
2017-05-05 18:37:00,33.336300401801736,34.626850642480704,20.126719103594603
2017-05-05 18:38:00,29.503288190683083,31.15023040310724,20.673010006003803
2017-05-05 18:39:00,29.594168978026733,31.114624986022783,11.042971959010853
2017-05-05 18:40:00,29.529421654159883,31.77677719262921,11.971695590537708
2017-05-05 18:41:00,29.857003880650293,31.400375263150387,10.81599110306895
2017-05-05 18:42:00,30.241784524892047,31.511577262372953,9.597838488213549
2017-05-05 18:43:00,30.22492818608783,31.67392427797141,9.954576653688829
2017-05-05 18:44:00,30.30534198131027,31.541156166058126,9.810745756142428
2017-05-05 18:45:00,30.162611349773744,31.3080199223511,10.670768872641434
2017-05-05 18:46:00,29.83144453110677,31.590755224036666,10.53834348146488
2017-05-05 18:47:00,29.901015964832478,31.41591478985346,10.732122877526763
2017-05-05 18:48:00,29.766058008661474,31.478218155244537,10.939720988786688
2017-05-05 18:49:00,29.394192692817743,31.241596870198553,9.99284189119892
2017-05-05 18:50:00,29.96831153659089,31.570018394963494,10.65418286402106
2017-05-05 18:51:00,29.82181556938086,30.741030026388728,13.528326262266642
2017-05-05 18:52:00,29.616208910127803,30.880299013893957,10.200468866878946
2017-05-05 18:53:00,29.820249944808197,30.686206999236642,10.905624050805162
2017-05-05 18:54:00,29.88757949069312,30.8891506877145,9.886872820395064
2017-05-05 18:55:00,29.82325852348018,30.973337164473683,10.010487547442432
2017-05-05 18:56:00,29.61777960533166,31.242780124307654,12.341943348800463
2017-05-05 18:57:00,30.08394364281662,31.134278653787156,12.35891511470566
2017-05-05 18:58:00,29.67736718303473,30.79432766185736,9.82666845990203
2017-05-05 18:59:00,29.38400543698618,30.528872740953496,9.753568924800467
2017-05-05 19:00:00,29.33297082813411,30.533365970688525,9.367654900418426
2017-05-05 19:01:00,30.140127253104513,31.327523333790154,10.145731322211327
2017-05-05 19:02:00,29.88312753809971,31.09635392781872,11.406184406204089
2017-05-05 19:03:00,30.048903586833802,31.360277970308235,8.497929128862317
2017-05-05 19:04:00,29.941240432651306,31.636085869883882,10.932712333100755
2017-05-05 19:05:00,30.108970536549954,31.781237356601878,9.888323290629206
2017-05-05 19:06:00,30.309840295686154,31.403700709138832,10.073838720294265
2017-05-05 19:07:00,30.4495646520603,31.542035948410707,10.39211479921195
2017-05-05 19:08:00,29.98130977688433,31.163197545341845,12.791578955996794
2017-05-05 19:09:00,30.42525181352928,31.06879643596074,13.656735841853523
2017-05-05 19:10:00,30.298987795936903,30.94945411305074,11.276825609777484
2017-05-05 19:11:00,30.27503088011087,30.61076838542008,9.467922213541188
2017-05-05 19:12:00,30.238343337764057,30.79167413170861,10.562502144970196
2017-05-05 19:13:00,30.214653953697148,30.9320297436573,10.064167434310368
2017-05-05 19:14:00,29.772726823386535,30.99260176336443,11.040320704128119
2017-05-05 19:15:00,30.227693247459356,30.835422220907997,10.94913474035734
2017-05-05 19:16:00,30.336421617628208,31.056635143851842,10.658591116246711
2017-05-05 19:17:00,30.330790074815067,30.7806244183469,9.07926541173165
2017-05-05 19:18:00,30.045498631589282,30.86378893960256,9.748363057029968
2017-05-05 19:19:00,30.11188352074089,31.47947270146849,10.752094684486678
2017-05-05 19:20:00,30.059307323536803,31.100940667714003,11.159481651455263
2017-05-05 19:21:00,30.280229084957398,29.999741943334556,12.173367447013172
2017-05-05 19:22:00,30.112646421049856,31.190401568431273,12.35180051821056
2017-05-05 19:23:00,29.6600077879148,31.071508569615133,10.541765496901677
2017-05-05 19:24:00,29.8341254026604,31.117299524340154,8.83660512324539
2017-05-05 19:25:00,29.871712179613453,31.349093263402374,10.424063607026453
2017-05-05 19:26:00,31.401610055258313,32.20216397361105,19.79471934790943
2017-05-05 19:27:00,31.86268318405561,32.49200751082231,19.983368319054723
2017-05-05 19:28:00,34.01639165228532,34.54265766320681,20.490542317839385
2017-05-05 19:29:00,31.530282153960076,31.8883627300645,19.66859309067801
