datetime,temp,humidity,co2,light,sound,images,dr_closed,dr_opened,occupancy
2017-03-25 09:07:00,23.85,38.91,768.3,422.4,510.4,15.242696714328472,1,1,15.0
2017-03-25 09:21:00,24.340000000000003,38.11000000000001,841.9,415.2,505.3,16.30788743854744,0,1,29.0
2017-03-25 09:34:00,24.8,37.43333333333333,937.0,360.0,505.0,17.447324129242087,0,1,29.0
2017-03-25 09:59:00,25.800000000000004,37.488888888888894,1167.2222222222222,436.77777777777777,501.44444444444446,16.336018136059554,0,1,30.0
2017-03-25 10:16:00,25.800000000000004,37.488888888888894,1167.2222222222222,436.77777777777777,501.44444444444446,28.63931978977213,2,1,31.0
2017-03-25 10:17:00,25.800000000000004,37.488888888888894,1167.2222222222222,436.77777777777777,501.44444444444446,31.307884390357646,2,2,31.0
2017-03-25 10:18:00,25.800000000000004,37.488888888888894,1167.2222222222222,436.77777777777777,501.44444444444446,27.383426699602445,2,2,31.0
2017-03-25 10:19:00,25.800000000000004,37.488888888888894,1167.2222222222222,436.77777777777777,501.44444444444446,24.939213474967488,3,4,31.0
2017-03-25 10:20:00,25.800000000000004,37.488888888888894,1167.2222222222222,436.77777777777777,501.44444444444446,48.10534947297095,1,0,31.0
2017-03-25 10:21:00,25.800000000000004,37.488888888888894,1167.2222222222222,436.77777777777777,501.44444444444446,24.31860175145424,3,3,31.0
2017-03-25 10:23:00,25.800000000000004,37.488888888888894,1167.2222222222222,436.77777777777777,501.44444444444446,20.979913210815088,3,3,31.0
2017-03-25 10:24:00,25.800000000000004,37.488888888888894,1167.2222222222222,436.77777777777777,501.44444444444446,29.26370018363194,2,2,31.0
2017-03-25 10:25:00,25.800000000000004,37.488888888888894,1167.2222222222222,436.77777777777777,501.44444444444446,27.055787110077446,1,2,30.0
2017-03-25 10:26:00,25.800000000000004,37.488888888888894,1167.2222222222222,436.77777777777777,501.44444444444446,23.517935896973754,1,0,30.0
2017-03-25 10:27:00,25.800000000000004,37.488888888888894,1167.2222222222222,436.77777777777777,501.44444444444446,18.907886582058822,2,2,30.0
2017-03-25 10:28:00,25.800000000000004,37.488888888888894,1167.2222222222222,436.77777777777777,501.44444444444446,20.464678806319768,1,1,30.0
2017-03-25 11:21:00,26.300000000000008,37.800000000000004,1271.1818181818182,463.90909090909093,501.6363636363636,18.32223711550166,1,1,30.0
2017-03-25 11:27:00,26.4,37.854545454545445,1300.7272727272727,450.09090909090907,504.45454545454544,18.92868831022988,1,1,30.0
2017-03-25 11:29:00,26.4,37.760000000000005,1292.2,451.3,495.5,17.87892047624334,1,1,31.0
2017-03-25 11:30:00,26.4,37.78,1281.0,456.9,507.3,16.137173182851242,1,1,30.0
2017-03-25 11:36:00,26.4,37.739999999999995,1277.3,451.6,506.5,20.676416895221475,1,1,30.0
2017-03-25 11:40:00,26.49,37.8,1291.4,456.6,506.8,17.855466133185473,1,1,29.0
2017-03-25 11:43:00,26.52,37.59,1279.6,455.6,509.4,16.863424579297845,1,1,31.0
2017-03-25 11:46:00,26.6,37.68181818181818,1283.5454545454545,457.0,503.6363636363636,20.902857435248734,1,1,31.0
2017-03-25 11:58:00,26.609999999999996,37.95,1328.3,425.4,501.5,37.24290567930354,3,3,26.0
2017-03-25 11:59:00,26.677777777777774,38.233333333333334,1319.888888888889,462.77777777777777,506.77777777777777,41.58443661069808,3,3,16.0
2017-03-25 12:00:00,26.699999999999992,38.03636363636364,1321.1818181818182,463.3636363636364,504.72727272727275,54.77862153800666,3,3,17.0
2017-03-25 12:01:00,26.699999999999996,38.019999999999996,1318.0,460.5,501.3,49.6446857941932,2,2,11.0
2017-03-25 12:02:00,26.699999999999996,37.989999999999995,1282.1,437.7,505.1,44.746892652823774,2,2,9.0
2017-03-25 12:26:00,25.9,36.970000000000006,1048.5,456.8,502.6,10.31464573636277,3,3,9.0
2017-03-25 12:30:00,25.900000000000002,36.96666666666667,1050.4444444444443,447.55555555555554,506.55555555555554,4.252574832772885,0,1,9.0
2017-03-25 12:31:00,25.9,36.980000000000004,1052.3,446.4,501.8,12.848590977386069,2,1,9.0
2017-03-25 12:32:00,25.880000000000003,37.03,1075.7,446.4,508.4,23.69630411363412,1,1,9.0
2017-03-25 12:37:00,25.790000000000003,37.11,1086.7,453.4,506.8,13.479893572620174,3,3,9.0
2017-03-25 12:39:00,25.790000000000003,37.18,1110.7,456.2,507.5,25.297363622520038,1,1,9.0
2017-03-25 12:40:00,25.800000000000004,37.344444444444434,1108.888888888889,453.55555555555554,507.6666666666667,18.66176573963014,1,1,9.0
2017-03-25 12:41:00,25.800000000000004,37.39,1120.6,451.8,502.7,17.364532503424904,1,1,9.0
2017-03-25 12:44:00,25.800000000000004,37.54,1147.2,450.3,505.7,17.983604628012337,0,1,9.0
2017-03-25 12:45:00,25.766666666666666,37.8111111111111,1146.7777777777778,448.3333333333333,510.44444444444446,23.55634705251078,4,4,9.0
2017-03-25 12:46:00,25.709999999999997,37.760000000000005,1159.4,461.3,505.0,23.856636033030725,1,0,9.0
2017-03-25 12:47:00,25.76,37.91,1168.1,451.2,506.9,21.49546822394587,1,1,9.0
2017-03-25 12:48:00,25.777777777777782,37.91111111111112,1160.888888888889,450.3333333333333,512.8888888888889,23.71657358262361,1,1,9.0
2017-03-25 12:50:00,25.800000000000004,37.95,1178.3,466.6,499.5,18.208652862375626,2,2,9.0
2017-03-25 12:52:00,25.810000000000002,38.040000000000006,1162.5,461.7,504.7,17.741816849019905,1,1,16.0
